,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
9,David Goffin,2008,28,2,84,58,26,0.690,12,3,8,7
8,David Goffin,2009,22,0,58,36,22,0.621,3,0,7,7
7,David Goffin,2010,22,3,62,43,19,0.694,9,0,7,5
6,David Goffin,2011,17,2,43,29,14,0.674,4,0,9,7
5,David Goffin,2012,23,2,50,30,20,0.600,2,1,10,6
4,David Goffin,2013,27,1,48,22,26,0.458,1,5,5,11
3,David Goffin,2014,25,6,69,50,19,0.725,10,0,9,7
2,David Goffin,2015,25,0,63,38,25,0.603,5,2,13,7
1,David Goffin,2016,26,0,74,49,25,0.662,5,2,11,15
