,Tm,Season_Yr,W,L,OL,PTS_Perc,GF,GA,SOW,SOL,SRS,SOS,TG_Per_G,PP,PPO,PP_Perc,PPA,PPOA,PK_Perc,SH,SHA,PIM_Per_G,oPIM_Per_G,S,S_Perc,SA,SV_Perc
0,Columbus Blue Jackets,2017,24,5,4,0.788,114,68,2,1,1.36,-0.04,5.52,26,96,27.08,16,93,82.8,4,0,8.3,8.5,994,11.3,987,0.932
1,Pittsburgh Penguins,2017,23,8,5,0.708,126,102,2,1,0.72,0.06,6.33,29,129,22.48,26,128,79.69,2,3,9.2,9.6,1254,9.9,1156,0.913
2,New York Rangers,2017,24,12,1,0.662,123,92,2,1,0.82,-0.02,5.81,22,109,20.18,16,101,84.16,5,1,6.6,7.5,1070,11.3,1088,0.916
3,Chicago Blackhawks,2017,22,10,5,0.662,103,89,2,1,0.28,-0.1,5.19,21,115,18.26,25,99,74.75,0,5,6.2,7.1,1076,9.4,1149,0.923
4,Minnesota Wild,2017,22,8,4,0.706,105,68,1,2,0.91,-0.18,5.09,17,96,17.71,14,101,86.14,3,1,8.3,8.3,999,10.4,1043,0.937
5,Montreal Canadiens,2017,21,9,4,0.676,104,76,1,1,0.85,0.02,5.29,21,111,18.92,23,125,81.6,3,2,10.3,8.1,1035,10.0,997,0.925
6,San Jose Sharks,2017,22,12,1,0.643,90,77,2,0,0.45,0.08,4.77,19,116,16.38,15,92,83.7,2,2,7.8,9.0,1075,8.2,927,0.917
7,Washington Capitals,2017,20,9,4,0.667,90,73,1,3,0.52,0.0,4.94,19,104,18.27,16,109,85.32,2,1,7.7,8.4,1003,8.9,934,0.925
8,Philadelphia Flyers,2017,20,12,4,0.611,110,108,4,3,-0.02,-0.08,6.06,28,127,22.05,19,106,82.08,2,7,10.5,11.3,1126,9.4,1039,0.899
9,Ottawa Senators,2017,20,12,3,0.614,91,93,3,1,-0.05,0.01,5.26,19,112,16.96,22,120,81.67,3,2,10.9,10.1,1014,8.7,1071,0.914
10,Edmonton Oilers,2017,18,12,6,0.583,105,97,2,2,0.17,-0.05,5.61,25,118,21.19,20,111,81.98,3,3,9.6,9.6,1124,9.2,1092,0.913
11,Anaheim Ducks,2017,17,12,7,0.569,98,102,1,1,-0.04,0.07,5.56,28,116,24.14,24,125,80.8,3,3,11.8,11.6,1062,9.1,1038,0.903
12,St. Louis Blues,2017,18,12,5,0.586,98,103,1,1,-0.05,0.1,5.74,23,108,21.3,15,119,87.39,0,4,9.3,8.9,998,9.7,982,0.896
13,Calgary Flames,2017,19,16,2,0.541,100,106,2,1,-0.17,-0.01,5.57,23,120,19.17,26,139,81.29,7,3,12.0,10.8,1045,9.4,1077,0.903
14,Boston Bruins,2017,18,15,4,0.541,88,91,2,1,0.02,0.11,4.84,15,111,13.51,16,121,86.78,2,5,9.2,8.8,1254,6.9,1000,0.91
15,Los Angeles Kings,2017,17,13,4,0.559,87,84,1,3,0.14,0.05,5.03,16,100,16.0,17,111,84.68,2,2,9.7,10.0,1023,8.4,884,0.908
16,Dallas Stars,2017,15,14,7,0.514,92,108,0,0,-0.49,-0.04,5.56,22,129,17.05,27,121,77.69,3,6,11.6,11.0,1059,8.7,1085,0.9
17,Tampa Bay Lightning,2017,17,15,3,0.529,100,98,2,2,0.03,-0.03,5.66,29,125,23.2,24,118,79.66,2,2,11.1,11.1,1053,9.3,1057,0.909
18,Carolina Hurricanes,2017,15,11,7,0.561,88,90,2,4,-0.04,0.02,5.39,20,98,20.41,8,85,90.59,5,3,6.2,7.4,976,8.8,908,0.905
19,Winnipeg Jets,2017,17,17,3,0.5,98,106,2,1,-0.33,-0.12,5.51,18,119,15.13,30,132,77.27,4,1,10.1,9.7,1035,9.3,1111,0.905
20,Nashville Predators,2017,15,13,6,0.529,96,97,1,3,-0.18,-0.15,5.68,22,113,19.47,19,103,81.55,4,4,9.2,9.3,1095,8.7,1020,0.908
21,Florida Panthers,2017,15,14,6,0.514,85,97,3,4,-0.36,-0.01,5.2,18,121,14.88,16,111,85.59,3,1,8.4,8.8,1104,7.4,1055,0.912
22,Toronto Maple Leafs,2017,14,12,7,0.53,97,95,0,5,0.01,-0.05,5.82,19,102,18.63,18,110,83.64,1,3,10.8,11.5,1115,8.7,1068,0.916
23,Buffalo Sabres,2017,13,13,8,0.5,75,94,1,5,-0.51,0.05,4.97,24,106,22.64,27,103,73.79,0,0,7.9,8.7,1001,7.4,1109,0.92
24,Detroit Red Wings,2017,15,16,4,0.486,86,100,5,0,-0.42,-0.02,5.31,15,120,12.5,20,108,81.48,2,3,10.3,11.0,1012,8.0,1068,0.906
25,New York Islanders,2017,14,14,6,0.5,94,105,1,2,-0.12,0.2,5.85,13,95,13.68,22,114,80.7,1,2,9.3,7.7,1009,9.2,1128,0.909
26,New Jersey Devils,2017,13,15,7,0.471,82,107,2,2,-0.67,0.05,5.4,18,115,15.65,19,105,81.9,3,4,9.0,9.7,978,8.2,1106,0.905
27,Vancouver Canucks,2017,14,18,3,0.443,86,109,3,1,-0.68,-0.03,5.57,14,104,13.46,20,99,79.8,2,2,9.8,9.9,983,8.4,1063,0.898
28,Arizona Coyotes,2017,11,19,5,0.386,77,111,3,1,-0.93,0.05,5.37,15,105,14.29,27,119,77.31,3,3,11.6,10.5,1008,7.3,1215,0.909
29,Colorado Avalanche,2017,12,21,1,0.368,70,112,0,1,-1.18,0.06,5.35,16,115,13.91,27,127,78.74,3,1,11.1,10.2,972,7.2,1095,0.899
