,Matchup_Date,Date,Hour,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd
1,05/11/2016 15:00,05/11/2016,15:00,Stoke City FC,West Ham United,3.75,3.7,2.16
2,05/11/2016 15:00,05/11/2016,15:00,Middlesbrough FC,Manchester City,15.5,7.0,1.28
3,05/11/2016 15:00,05/11/2016,15:00,Sunderland,Bournemouth AFC,6.0,4.2,1.7
4,05/11/2016 15:00,05/11/2016,15:00,Crystal Palace FC,Burnley FC,2.55,3.4,3.3
5,05/11/2016 17:30,05/11/2016,17:30,Everton,Chelsea,6.8,4.5,1.63
6,06/11/2016 12:00,06/11/2016,12:00,Tottenham Hotspur,Arsenal,4.0,3.8,2.1
7,06/11/2016 14:15,06/11/2016,14:15,Watford FC,Liverpool,12.5,6.5,1.33
8,06/11/2016 14:15,06/11/2016,14:15,Southampton FC,Hull City AFC,1.71,4.05,6.1
9,06/11/2016 15:00,06/11/2016,15:00,Manchester United FC,Swansea City,1.67,4.2,6.1
10,06/11/2016 16:30,06/11/2016,16:30,West Bromwich Albion FC,Leicester City,5.3,3.8,1.87
11,19/11/2016 12:30,19/11/2016,12:30,Arsenal,Manchester United FC,2.8,3.51,2.75
12,19/11/2016 15:00,19/11/2016,15:00,Hull City AFC,Sunderland,4.1,3.45,2.14
13,19/11/2016 15:00,19/11/2016,15:00,Manchester City,Crystal Palace FC,1.58,4.6,7.0
14,19/11/2016 15:00,19/11/2016,15:00,Bournemouth AFC,Stoke City FC,3.4,3.55,2.36
15,19/11/2016 15:00,19/11/2016,15:00,Leicester City,Watford FC,2.7,3.35,2.95
16,19/11/2016 15:00,19/11/2016,15:00,Liverpool,Southampton FC,2.25,3.57,3.5
17,19/11/2016 15:00,19/11/2016,15:00,Swansea City,Everton,7.29,4.45,1.57
18,19/11/2016 17:30,19/11/2016,17:30,West Ham United,Tottenham Hotspur,7.02,4.45,1.6
19,20/11/2016 16:00,20/11/2016,16:00,Chelsea,Middlesbrough FC,1.58,4.25,7.5
20,21/11/2016 20:00,21/11/2016,20:00,Burnley FC,West Bromwich Albion FC,4.5,3.5,2.0
