,Matchup_Date,Date,Hour,League,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd
1,05/11/2016 17:00,05/11/2016,17:00,Serie A,Cagliari,Torino FC,7.0,4.8,1.63
2,05/11/2016 19:45,05/11/2016,19:45,Serie A,SS Lazio,Napoli,5.0,4.2,1.85
3,06/11/2016 11:30,06/11/2016,11:30,Serie A,Empoli,Pescara,3.3,3.32,2.62
4,06/11/2016 14:00,06/11/2016,14:00,Serie A,Juventus FC,Chievo Verona,1.52,4.5,9.0
5,06/11/2016 14:00,06/11/2016,14:00,Serie A,Atalanta Bergamo,Sassuolo,3.3,3.3,2.53
6,06/11/2016 14:00,06/11/2016,14:00,Serie A,AC Milan,Palermo,1.7,4.05,6.0
7,06/11/2016 14:00,06/11/2016,14:00,Serie A,Udinese Calcio,Genoa,5.5,3.7,1.88
8,06/11/2016 17:00,06/11/2016,17:00,Serie A,Crotone,Internazionale Milano,16.0,7.1,1.31
9,06/11/2016 17:00,06/11/2016,17:00,Serie A,Sampdoria,AC Fiorentina,6.8,4.5,1.63
10,06/11/2016 19:45,06/11/2016,19:45,Serie A,Bologna F.C.,AS Roma,11.0,6.5,1.36
11,19/11/2016 14:00,19/11/2016,14:00,Serie A,Cagliari,Chievo Verona,4.1,3.5,2.12
12,19/11/2016 17:00,19/11/2016,17:00,Serie A,Napoli,Udinese Calcio,1.7,4.0,6.3
13,19/11/2016 19:45,19/11/2016,19:45,Serie A,Pescara,Juventus FC,28.0,12.0,1.17
14,20/11/2016 11:30,20/11/2016,11:30,Serie A,Sassuolo,Sampdoria,3.2,3.39,2.54
15,20/11/2016 14:00,20/11/2016,14:00,Serie A,AC Fiorentina,Empoli,2.07,3.5,4.15
16,20/11/2016 14:00,20/11/2016,14:00,Serie A,Palermo,Bologna F.C.,5.3,3.7,1.86
17,20/11/2016 14:00,20/11/2016,14:00,Serie A,Torino FC,Crotone,1.77,3.91,6.0
18,20/11/2016 14:00,20/11/2016,14:00,Serie A,AS Roma,Atalanta Bergamo,1.96,3.78,4.6
19,20/11/2016 14:00,20/11/2016,14:00,Serie A,Genoa,SS Lazio,6.8,4.1,1.68
20,20/11/2016 19:45,20/11/2016,19:45,Serie A,Internazionale Milano,AC Milan,3.11,3.39,2.6
