,Tm,Season_Yr,W,D,L,GF,GA,Pts,PPG,CS,FTS
0,RB Leipzig,2017,8,3,0,23,9,27,2.45,0.36,0.0
1,Bayern Munich,2017,7,3,1,24,7,24,2.18,0.45,0.09
2,Dortmund,2017,6,3,2,26,12,21,1.91,0.27,0.27
3,FC Koln,2017,6,3,2,18,8,21,1.91,0.36,0.18
4,Hoffenheim,2017,5,6,0,20,13,21,1.91,0.27,0.09
5,Hertha Berlin,2017,6,3,2,17,10,21,1.91,0.45,0.27
6,Frankfurt,2017,6,3,2,16,9,21,1.91,0.45,0.27
7,FSV Mainz,2017,5,2,4,21,20,17,1.55,0.18,0.18
8,Leverkusen,2017,5,1,5,18,18,16,1.45,0.18,0.18
9,Freiburg,2017,5,0,6,15,20,15,1.36,0.18,0.18
10,Schalke 04,2017,4,2,5,14,12,14,1.27,0.36,0.36
11,Augsburg,2017,3,3,5,10,14,12,1.09,0.36,0.27
12,Monchengladb.,2017,3,3,5,11,17,12,1.09,0.27,0.45
13,Wolfsburg,2017,2,3,6,9,14,9,0.82,0.45,0.45
14,Darmstadt,2017,2,2,7,10,21,8,0.73,0.09,0.45
15,Werder Bremen,2017,2,1,8,13,29,7,0.64,0.0,0.09
16,Ingolstadt,2017,1,2,8,8,21,5,0.45,0.09,0.45
17,Hamburger SV,2017,0,3,8,6,25,3,0.27,0.09,0.64
18,Real Madrid,2017,9,3,0,34,10,30,2.5,0.33,0.0
19,FC Barcelona,2017,8,2,2,32,13,26,2.17,0.42,0.08
20,FC Sevilla,2017,7,3,2,22,17,24,2.0,0.25,0.08
21,Villarreal,2017,6,4,2,19,8,22,1.83,0.42,0.25
22,Real Sociedad,2017,7,1,4,21,13,22,1.83,0.42,0.17
23,Atletico Madrid,2017,6,3,3,25,11,21,1.75,0.42,0.33
24,Athletic Bilbao,2017,6,2,4,16,13,20,1.67,0.25,0.17
25,Eibar,2017,5,3,4,17,15,18,1.5,0.25,0.08
26,Celta Vigo,2017,5,2,5,18,22,17,1.42,0.17,0.42
27,Las Palmas,2017,4,4,4,21,20,16,1.33,0.25,0.17
28,Malaga,2017,4,4,4,17,16,16,1.33,0.17,0.33
29,Espanyol,2017,3,6,3,14,17,15,1.25,0.42,0.42
30,Real Betis,2017,4,2,6,13,22,14,1.17,0.25,0.42
31,Alaves,2017,3,4,5,11,16,13,1.08,0.25,0.33
32,Leganes,2017,4,1,7,11,22,13,1.08,0.33,0.33
33,Valencia,2017,3,2,7,16,22,11,0.92,0.0,0.17
34,Deportivo,2017,2,4,6,10,19,10,0.83,0.17,0.42
35,Sporting Gijon,2017,2,3,7,11,25,9,0.75,0.17,0.33
36,Osasuna,2017,1,4,7,12,23,7,0.58,0.08,0.33
37,Granada,2017,0,5,7,10,26,5,0.42,0.08,0.25
38,Juventus,2017,11,0,2,28,9,33,2.54,0.38,0.08
39,AS Roma,2017,8,2,3,30,14,26,2.0,0.31,0.15
40,AC Milan,2017,8,2,3,21,17,26,2.0,0.38,0.23
41,Lazio Roma,2017,7,4,2,26,14,25,1.92,0.23,0.15
42,Atalanta,2017,8,1,4,21,14,25,1.92,0.38,0.23
43,Napoli,2017,7,3,3,23,14,24,1.85,0.31,0.15
44,Torino,2017,6,4,3,29,16,22,1.69,0.23,0.15
45,Fiorentina,2017,5,5,2,18,11,20,1.67,0.5,0.17
46,Inter Milan,2017,5,3,5,18,16,18,1.38,0.15,0.15
47,Chievo,2017,5,3,5,13,14,18,1.38,0.31,0.31
48,Sampdoria,2017,5,3,5,16,19,18,1.38,0.15,0.15
49,Genoa,2017,4,4,4,14,14,16,1.33,0.33,0.33
50,Bologna,2017,4,4,5,14,19,16,1.23,0.15,0.23
51,Cagliari,2017,5,1,7,20,30,16,1.23,0.08,0.15
52,Udinese,2017,4,3,6,17,21,15,1.15,0.15,0.23
53,Sassuolo,2017,4,1,8,16,25,13,1.0,0.23,0.15
54,Empoli,2017,2,4,7,6,17,10,0.77,0.38,0.85
55,Pescara,2017,1,4,8,9,23,7,0.54,0.15,0.54
56,Palermo,2017,1,3,9,10,26,6,0.46,0.08,0.23
57,Crotone,2017,1,2,10,10,26,5,0.38,0.08,0.31
58,Chelsea,2017,9,1,2,27,9,28,2.33,0.58,0.08
59,Liverpool,2017,8,3,1,30,14,27,2.25,0.17,0.25
60,Manchester City,2017,8,3,1,27,11,27,2.25,0.17,0.08
61,Arsenal,2017,7,4,1,25,12,25,2.08,0.33,0.17
62,Tottenham,2017,6,6,0,18,8,24,2.0,0.42,0.08
63,Manchester Utd,2017,5,4,3,17,14,19,1.58,0.33,0.25
64,Everton,2017,5,4,3,16,14,19,1.58,0.25,0.17
65,Watford,2017,5,3,4,17,20,18,1.5,0.25,0.17
66,West Bromwich,2017,4,4,4,16,15,16,1.33,0.25,0.25
67,Bournemouth,2017,4,3,5,14,16,15,1.25,0.33,0.33
68,Southampton,2017,3,5,4,12,12,14,1.17,0.33,0.33
69,Burnley,2017,4,2,6,11,19,14,1.17,0.25,0.5
70,Stoke City,2017,3,4,5,13,19,13,1.08,0.17,0.25
71,Leicester City,2017,3,3,6,14,20,12,1.0,0.25,0.25
72,Middlesbrough,2017,2,5,5,10,13,11,0.92,0.25,0.33
73,Crystal Palace,2017,3,2,7,17,21,11,0.92,0.0,0.25
74,West Ham Utd,2017,3,2,7,13,23,11,0.92,0.25,0.17
75,Hull City,2017,3,1,8,10,27,10,0.83,0.08,0.42
76,Sunderland,2017,2,2,8,12,21,8,0.67,0.08,0.33
77,Swansea City,2017,1,3,8,11,22,6,0.5,0.17,0.25
78,Nice,2017,10,2,1,25,9,32,2.46,0.46,0.08
79,Monaco,2017,9,2,2,39,15,29,2.23,0.38,0.08
80,Paris SG,2017,9,2,2,26,7,29,2.23,0.69,0.15
81,Lyon,2017,7,1,5,21,16,22,1.69,0.38,0.23
82,Guingamp,2017,6,4,3,18,13,22,1.69,0.31,0.15
83,Rennes,2017,6,3,4,14,17,21,1.62,0.31,0.31
84,Bordeaux,2017,5,5,3,16,14,20,1.54,0.31,0.31
85,Toulouse,2017,5,4,4,17,12,19,1.46,0.31,0.31
86,Saint-Etienne,2017,4,6,3,14,11,18,1.38,0.38,0.38
87,Angers,2017,5,3,5,12,12,18,1.38,0.23,0.38
88,Marseille,2017,4,5,4,13,13,17,1.31,0.54,0.31
89,Metz,2017,5,2,6,13,22,17,1.31,0.38,0.54
90,Montpellier,2017,3,6,4,20,27,15,1.15,0.08,0.08
91,Dijon,2017,3,5,5,16,18,14,1.08,0.31,0.46
92,Caen,2017,4,1,8,10,22,13,1.0,0.31,0.54
93,Bastia,2017,3,3,7,10,13,12,0.92,0.31,0.46
94,Nantes,2017,3,3,7,9,18,12,0.92,0.23,0.38
95,Nancy,2017,3,3,7,8,19,12,0.92,0.31,0.54
96,Lille,2017,3,1,9,10,19,10,0.77,0.15,0.38
97,Lorient,2017,2,1,10,9,23,7,0.54,0.15,0.46
