,Team,Season_Yr,W,D,L,GF,GA,Pts,PPG,CS,FTS
0, Bayern Munich,2013,29,4,1,98,18,91,2.68,0.62,0.0
1, Dortmund,2013,19,9,6,81,42,66,1.94,0.24,0.03
2, Leverkusen,2013,19,8,7,65,39,65,1.91,0.32,0.12
3, Schalke 04,2013,16,7,11,58,50,55,1.62,0.24,0.18
4, Freiburg,2013,14,9,11,45,40,51,1.5,0.38,0.26
5, Frankfurt,2013,14,9,11,49,46,51,1.5,0.24,0.32
6, Hamburger SV,2013,14,6,14,42,53,48,1.41,0.24,0.32
7, Mönchengladbach,2013,12,11,11,45,49,47,1.38,0.26,0.24
8, Hannover 96,2013,13,6,15,60,62,45,1.32,0.24,0.18
9, FC Nürnberg,2013,11,11,12,39,47,44,1.29,0.21,0.32
10, Wolfsburg,2013,10,13,11,47,52,43,1.26,0.15,0.29
11, Stuttgart,2013,12,7,15,37,55,43,1.26,0.24,0.32
12, FSV Mainz 05,2013,10,12,12,42,44,42,1.24,0.26,0.26
13, Werder Bremen,2013,8,10,16,50,66,34,1.0,0.09,0.18
14, FC Augsburg,2013,8,9,17,33,51,33,0.97,0.24,0.38
15, Hoffenheim,2013,8,7,19,42,67,31,0.91,0.18,0.35
16, Düsseldorf,2013,7,9,18,39,57,30,0.88,0.24,0.26
17, Greuther Fürth,2013,4,9,21,26,60,21,0.62,0.15,0.47
18, FC Barcelona,2013,32,4,2,115,40,100,2.63,0.26,0.0
19, Real Madrid,2013,26,7,5,103,42,85,2.24,0.29,0.11
20, Atletico Madrid,2013,23,7,8,65,31,76,2.0,0.53,0.21
21, Real Sociedad,2013,18,12,8,70,49,66,1.74,0.26,0.18
22, Valencia,2013,19,8,11,67,54,65,1.71,0.29,0.21
23, Malaga,2013,16,9,13,53,50,57,1.5,0.34,0.26
24, Betis Sevilla,2013,16,8,14,57,56,56,1.47,0.34,0.24
25, Rayo Vallecano,2013,16,5,17,50,66,53,1.39,0.24,0.32
26, FC Sevilla,2013,14,8,16,58,54,50,1.32,0.24,0.24
27, Getafe,2013,13,8,17,43,57,47,1.24,0.24,0.26
28, Levante,2013,12,10,16,40,57,46,1.21,0.26,0.34
29, Athletic Bilbao,2013,12,9,17,44,65,45,1.18,0.24,0.24
30, Espanyol,2013,11,11,16,43,52,44,1.16,0.32,0.42
31, Valladolid,2013,11,10,17,49,58,43,1.13,0.24,0.18
32, Granada,2013,11,9,18,37,54,42,1.11,0.26,0.34
33, Osasuna,2013,10,9,19,33,50,39,1.03,0.32,0.45
34, Celta Vigo,2013,10,7,21,37,52,37,0.97,0.16,0.29
35, Mallorca,2013,9,9,20,43,72,36,0.95,0.13,0.26
36, Deportivo,2013,8,11,19,47,70,35,0.92,0.21,0.29
37, Zaragoza,2013,9,7,22,37,62,34,0.89,0.16,0.47
38, Juventus,2013,27,6,5,71,24,87,2.29,0.5,0.11
39, Napoli,2013,23,9,6,73,36,78,2.05,0.37,0.16
40, AC Milan,2013,21,9,8,67,39,72,1.89,0.32,0.16
41, Fiorentina,2013,21,7,10,72,44,70,1.84,0.32,0.11
42, Udinese,2013,18,12,8,59,45,66,1.74,0.34,0.18
43, AS Roma,2013,18,8,12,71,56,62,1.63,0.24,0.13
44, Lazio Roma,2013,18,7,13,51,42,61,1.61,0.34,0.39
45, Catania,2013,15,11,12,50,46,56,1.47,0.34,0.32
46, Inter Milan,2013,16,6,16,55,57,54,1.42,0.26,0.21
47, Parma,2013,13,10,15,45,46,49,1.29,0.24,0.34
48, Cagliari,2013,12,11,15,43,55,47,1.24,0.26,0.32
49, Chievo Verona,2013,12,9,17,37,52,45,1.18,0.34,0.32
50, Bologna,2013,11,11,16,46,52,44,1.16,0.24,0.37
51, Sampdoria,2013,11,10,17,43,51,42,1.13,0.24,0.34
52, Atalanta,2013,11,9,18,39,56,40,1.11,0.18,0.34
53, Torino,2013,8,16,14,46,55,39,1.05,0.32,0.37
54, Genoa,2013,8,14,16,38,52,38,1.0,0.32,0.34
55, Palermo,2013,6,14,18,34,54,32,0.84,0.18,0.42
56, Siena,2013,9,9,20,36,57,30,0.95,0.32,0.37
57, Pescara,2013,6,4,28,27,84,22,0.58,0.13,0.5
58, Manchester Utd,2013,28,5,5,86,43,89,2.34,0.34,0.08
59, Manchester City,2013,23,9,6,66,34,78,2.05,0.47,0.16
60, Chelsea,2013,22,9,7,75,39,75,1.97,0.37,0.13
61, Arsenal,2013,21,10,7,72,37,73,1.92,0.37,0.18
62, Tottenham,2013,21,9,8,66,46,72,1.89,0.24,0.11
63, Everton,2013,16,15,7,55,40,63,1.66,0.29,0.18
64, Liverpool,2013,16,13,9,71,43,61,1.61,0.42,0.21
65, West Bromwich,2013,14,7,17,53,57,49,1.29,0.21,0.26
66, Swansea City,2013,11,13,14,47,51,46,1.21,0.26,0.42
67, West Ham Utd,2013,12,10,16,45,53,46,1.21,0.29,0.29
68, Norwich City,2013,10,14,14,41,58,44,1.16,0.26,0.34
69, Fulham,2013,11,10,17,50,60,43,1.13,0.21,0.32
70, Stoke City,2013,9,15,14,34,45,42,1.11,0.32,0.39
71, Southampton,2013,9,14,15,49,60,41,1.08,0.18,0.24
72, Aston Villa,2013,10,11,17,47,69,41,1.08,0.13,0.32
73, Newcastle Utd,2013,11,8,19,45,68,41,1.08,0.16,0.29
74, Sunderland,2013,9,12,17,41,54,39,1.03,0.29,0.26
75, Wigan Athletic,2013,9,9,20,47,73,36,0.95,0.13,0.29
76, Reading,2013,6,10,22,43,73,28,0.74,0.13,0.37
77, QP Rangers,2013,4,13,21,30,60,25,0.66,0.18,0.42
78, Paris SG,2013,25,8,5,69,23,83,2.18,0.61,0.11
79, Marseille,2013,21,8,9,42,36,71,1.87,0.47,0.26
80, Lyon,2013,19,10,9,61,38,67,1.76,0.34,0.18
81, Nice,2013,18,10,10,57,46,64,1.68,0.34,0.24
82, Saint-Etienne,2013,16,15,7,60,32,63,1.66,0.45,0.24
83, Lille,2013,16,14,8,59,40,62,1.63,0.26,0.21
84, Bordeaux,2013,13,16,9,40,34,55,1.45,0.45,0.39
85, Lorient,2013,14,11,13,57,58,53,1.39,0.21,0.21
86, Montpellier,2013,15,7,16,54,51,52,1.37,0.26,0.16
87, Toulouse,2013,13,12,13,49,47,51,1.34,0.32,0.37
88, Valenciennes,2013,12,12,14,49,53,48,1.26,0.24,0.34
89, Bastia,2013,13,8,17,50,66,47,1.24,0.24,0.42
90, Rennes,2013,13,7,18,48,59,46,1.21,0.18,0.34
91, Reims,2013,10,13,15,33,42,43,1.13,0.32,0.39
92, Sochaux,2013,10,11,17,41,57,41,1.08,0.21,0.32
93, Evian TG,2013,10,10,18,46,53,40,1.05,0.21,0.37
94, Ajaccio,2013,9,15,14,39,51,40,1.11,0.32,0.39
95, Nancy,2013,9,11,18,38,58,38,1.0,0.16,0.29
96, Troyes,2013,8,13,17,43,61,37,0.97,0.18,0.26
97, Brest,2013,8,5,25,32,62,29,0.76,0.16,0.42
