,Team,Season_Yr,WP,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS_Perc,O_eFG_Perc,O_TOV_Perc,ORB_Perc,O_FT_per_FGA,D_eFG_Perc,D_TOV_Perc,DRB_Perc,D_FT_per_FGA
0,Los Angeles Clippers,2017,0.875,16.88,0.86,17.73,108.4,91.0,97.0,0.329,0.296,0.54,0.496,11.0,21.4,0.246,0.434,15.4,79.1,0.211
1,Atlanta Hawks,2017,0.75,9.38,-0.93,8.44,108.3,98.9,100.3,0.341,0.302,0.565,0.532,15.8,28.1,0.235,0.478,15.2,78.6,0.189
2,San Antonio Spurs,2017,0.625,4.5,2.9,7.4,108.7,103.9,93.9,0.303,0.261,0.547,0.488,11.3,22.9,0.264,0.501,12.8,83.6,0.207
3,Toronto Raptors,2017,0.714,6.0,0.43,6.43,109.7,103.2,93.4,0.284,0.264,0.538,0.494,11.4,26.6,0.223,0.484,14.3,76.2,0.246
4,Charlotte Hornets,2017,0.714,8.43,-2.88,5.55,106.7,98.2,98.5,0.325,0.337,0.545,0.497,10.5,17.3,0.25,0.481,14.0,80.8,0.153
5,Utah Jazz,2017,0.556,2.89,2.21,5.1,107.2,104.0,91.7,0.298,0.323,0.555,0.518,12.7,19.7,0.22,0.492,12.7,80.3,0.21
6,Cleveland Cavaliers,2017,0.714,7.0,-1.91,5.09,114.0,106.8,97.8,0.294,0.405,0.559,0.514,10.6,25.0,0.235,0.507,13.7,74.0,0.174
7,Oklahoma City Thunder,2017,0.625,3.0,1.68,4.68,101.9,98.9,99.4,0.287,0.277,0.52,0.481,15.2,26.9,0.208,0.475,14.1,77.3,0.199
8,Golden State Warriors,2017,0.625,5.63,-1.24,4.39,112.8,107.2,100.4,0.256,0.358,0.592,0.56,14.3,21.5,0.198,0.493,12.7,72.0,0.206
9,Houston Rockets,2017,0.5,1.13,1.11,2.24,111.4,110.2,96.9,0.28,0.425,0.585,0.553,16.0,25.3,0.209,0.51,12.6,74.7,0.228
10,Los Angeles Lakers,2017,0.5,0.13,1.57,1.69,107.8,107.6,100.8,0.26,0.312,0.556,0.513,15.4,27.4,0.214,0.518,14.6,75.7,0.227
11,Chicago Bulls,2017,0.625,5.0,-3.65,1.35,112.1,106.8,95.7,0.295,0.26,0.549,0.502,13.0,31.1,0.237,0.52,12.6,78.1,0.146
12,Detroit Pistons,2017,0.5,0.75,-0.26,0.5,101.8,101.0,96.4,0.244,0.219,0.508,0.471,11.8,22.0,0.183,0.476,12.7,78.2,0.187
13,Miami Heat,2017,0.5,-1.67,1.49,-0.18,99.8,101.6,94.8,0.246,0.276,0.501,0.467,13.0,22.7,0.175,0.453,12.5,73.8,0.225
14,Milwaukee Bucks,2017,0.571,1.86,-2.63,-0.78,105.5,103.6,96.5,0.232,0.292,0.544,0.505,14.9,25.4,0.189,0.481,14.0,75.5,0.23
15,Portland Trail Blazers,2017,0.333,-3.89,2.95,-0.94,105.8,109.7,98.7,0.277,0.348,0.56,0.517,13.9,16.8,0.224,0.487,11.2,74.4,0.269
16,Washington Wizards,2017,0.429,-2.29,0.66,-1.63,106.3,108.7,94.0,0.269,0.23,0.536,0.479,14.5,27.7,0.211,0.532,14.0,78.1,0.205
17,Denver Nuggets,2017,0.571,0.14,-1.87,-1.72,103.7,103.6,100.4,0.366,0.275,0.537,0.481,15.7,25.6,0.285,0.493,11.6,81.2,0.197
18,Minnesota Timberwolves,2017,0.571,1.86,-3.91,-2.05,110.4,108.5,95.9,0.326,0.26,0.554,0.512,13.3,29.4,0.243,0.519,14.7,76.5,0.245
19,Phoenix Suns,2017,0.333,-5.44,1.77,-3.68,102.0,107.2,101.9,0.329,0.231,0.527,0.478,13.6,23.4,0.252,0.503,13.4,79.3,0.266
20,Sacramento Kings,2017,0.333,-3.33,-0.37,-3.71,105.4,109.0,92.4,0.305,0.275,0.537,0.492,13.3,22.6,0.235,0.503,12.5,73.9,0.259
21,New York Knicks,2017,0.286,-4.57,0.62,-3.95,106.8,111.5,96.7,0.261,0.269,0.542,0.509,12.0,21.8,0.191,0.518,12.9,73.5,0.229
22,Dallas Mavericks,2017,0.375,-5.25,1.17,-4.08,101.2,106.6,93.6,0.215,0.365,0.519,0.48,11.6,19.8,0.175,0.54,16.1,81.6,0.211
23,Boston Celtics,2017,0.286,-5.0,0.76,-4.24,112.6,117.9,95.6,0.23,0.346,0.578,0.546,11.8,19.3,0.167,0.513,12.1,70.7,0.265
24,Indiana Pacers,2017,0.375,-3.25,-1.3,-4.55,107.6,110.8,99.6,0.232,0.265,0.557,0.527,13.7,21.8,0.173,0.538,14.4,75.7,0.209
25,Brooklyn Nets,2017,0.375,-3.63,-1.02,-4.65,103.0,106.6,101.3,0.264,0.397,0.548,0.505,15.4,21.5,0.212,0.507,13.7,76.0,0.183
26,Memphis Grizzlies,2017,0.375,-5.0,-0.26,-5.26,100.0,105.1,94.7,0.299,0.308,0.51,0.464,14.3,24.0,0.226,0.509,15.1,79.1,0.273
27,New Orleans Pelicans,2017,0.25,-7.63,0.13,-7.5,98.4,105.8,99.3,0.278,0.279,0.511,0.472,12.4,16.8,0.203,0.504,13.7,78.2,0.215
28,Philadelphia 76ers,2017,0.143,-12.71,1.84,-10.88,95.2,108.0,98.0,0.21,0.331,0.514,0.49,15.8,16.0,0.144,0.523,11.4,78.2,0.172
29,Orlando Magic,2017,0.25,-10.0,-1.44,-11.44,101.2,111.9,93.5,0.244,0.301,0.494,0.461,11.3,25.1,0.172,0.512,10.4,72.4,0.166
